id,name,type,nutrition,value,unit,url,value_level
52,Chawanmushi with Shrimp,appetizer,Protein,14,g,https://www.justonecookbook.com/wp-content/uploads/2017/02/Chawanmushi-with-Shrimp-w600-400x400.jpg,0.3364722366212129
53,Chawanmushi with Shrimp,appetizer,Sodium,408,mg,https://www.justonecookbook.com/wp-content/uploads/2017/02/Chawanmushi-with-Shrimp-w600-400x400.jpg,0.01980262729617973
54,Chawanmushi with Shrimp,appetizer,Potassium,263,mg,https://www.justonecookbook.com/wp-content/uploads/2017/02/Chawanmushi-with-Shrimp-w600-400x400.jpg,-0.9789263028656401
55,Chawanmushi with Shrimp,appetizer,Calcium,34,mg,https://www.justonecookbook.com/wp-content/uploads/2017/02/Chawanmushi-with-Shrimp-w600-400x400.jpg,-1.7719568419318752
56,Cheese Tart,appetizer,Calories,45,kcal,https://www.justonecookbook.com/wp-content/uploads/2015/11/Cheese-Tart-400x400.jpg,-2.184802057337662
57,Cheese Tart,appetizer,Protein,2,g,https://www.justonecookbook.com/wp-content/uploads/2015/11/Cheese-Tart-400x400.jpg,-1.6094379124341003
58,Cheese Tart,appetizer,Sodium,76,mg,https://www.justonecookbook.com/wp-content/uploads/2015/11/Cheese-Tart-400x400.jpg,-1.6607312068216509
59,Cheese Tart,appetizer,Potassium,19,mg,https://www.justonecookbook.com/wp-content/uploads/2015/11/Cheese-Tart-400x400.jpg,-3.606641355876964
60,Cheese Tart,appetizer,Calcium,19,mg,https://www.justonecookbook.com/wp-content/uploads/2015/11/Cheese-Tart-400x400.jpg,-2.353878387381596
61,Chicken Spring Rolls,appetizer,Calories,124,kcal,https://www.justonecookbook.com/wp-content/uploads/2015/04/Chicken-Spring-Rolls-400x400.jpg,-1.171182981502945
62,Chicken Spring Rolls,appetizer,Protein,8,g,https://www.justonecookbook.com/wp-content/uploads/2015/04/Chicken-Spring-Rolls-400x400.jpg,-0.2231435513142097
63,Chicken Spring Rolls,appetizer,Sodium,397,mg,https://www.justonecookbook.com/wp-content/uploads/2015/04/Chicken-Spring-Rolls-400x400.jpg,-0.0075282664207915245
64,Chicken Spring Rolls,appetizer,Potassium,179,mg,https://www.justonecookbook.com/wp-content/uploads/2015/04/Chicken-Spring-Rolls-400x400.jpg,-1.3636945292026497
65,Chicken Spring Rolls,appetizer,Calcium,36,mg,https://www.justonecookbook.com/wp-content/uploads/2015/04/Chicken-Spring-Rolls-400x400.jpg,-1.7147984280919266
66,Coconut Shrimp,appetizer,Calories,219,kcal,https://www.justonecookbook.com/wp-content/uploads/2014/08/Coconut-Shrimp-400x400.jpg,-0.6023928172914812
67,Coconut Shrimp,appetizer,Protein,6,g,https://www.justonecookbook.com/wp-content/uploads/2014/08/Coconut-Shrimp-400x400.jpg,-0.5108256237659907
68,Coconut Shrimp,appetizer,Sodium,155,mg,https://www.justonecookbook.com/wp-content/uploads/2014/08/Coconut-Shrimp-400x400.jpg,-0.9480394301887354
69,Coconut Shrimp,appetizer,Potassium,137,mg,https://www.justonecookbook.com/wp-content/uploads/2014/08/Coconut-Shrimp-400x400.jpg,-1.6310994092152797
70,Coconut Shrimp,appetizer,Calcium,39,mg,https://www.justonecookbook.com/wp-content/uploads/2014/08/Coconut-Shrimp-400x400.jpg,-1.6347557204183902
